area,area1,area2,area3,area4,area5,Level,Skincare,Skincare1,Skincare2,Skincare3,Skincare4,Skincare5,Skincare6,Skincare7,htk,observ,another
"หน้าผาก, แก้ม, คาง, จมูก",หน้าผาก, แก้ม, คาง, จมูก,,ปานกลาง,"ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,ดูตามรีวิวและลองใช้,ใช้เเล้วสิวดีขึ้นก็ใช้ต่อ แต่ถ้ายิ่งเยอะขึ้นก็หยุดใช้,ไม่มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,ปานกลาง,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,แพทย์แนะนำ,คอยสังเป็นระยะ,มี
แก้ม,แก้ม,,,,,น้อยมาก,"ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, โฟมล้างหน้า,,,,ใช้ไป2-3เดือนสังเกตว่าหน้ามีอะไรผิดปกติไหม,ดีขึ้น - สิวหาย แย่ลง - สิวขึ้น,ไม่มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,ปานกลาง,"มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,,ลองใช้ไปเรื่อยๆ,ดูว่าหน้าขาวขึ้น รอยสิวลดลงหรือเปล่า,ไม่มี
หน้าผาก,หน้าผาก,,,,,น้อยมาก,"เซรั่ม, มาส์กหน้า, โฟมล้างหน้า",เซรั่ม, มาส์กหน้า, โฟมล้างหน้า,,,,,อ่านสรรพคุณของสกินแคร์ว่าผิวหน้าแบบไหนควรใช้แบบใด,ถ่ายรูปbefore after ไว้ว่าก่อนและหลังใช้สกินแคร์ตัวนี้เป็นยังไง,ไม่มี
แก้ม,แก้ม,,,,,ปานกลาง,"ครีมบำรุงผิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,ดูรีวิว คำแนะนำจากผู้ใช้จริง,ถ่ายรูปหลังทาสกินแคร์ไว้ทุกวัน,ไม่มี
"แก้ม, คาง, รอบปาก",แก้ม, คาง, รอบปาก,,,ปานกลาง,"ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า",ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า,,,,,คำแนะนำหมอ,หน้าไม่แห้ง สิวไม่ขึ้น,มี
หน้าผาก,หน้าผาก,,,,,ปานกลาง,"ครีมบำรุงผิว, เซรั่ม, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,มีสูตรเขียนอยู่ว่าเหมาะกับผิวหน้าแบบไหน,ถ่ายรูป,ไม่มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,ปานกลาง,"โทนเนอร์, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",โทนเนอร์, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,ถามพนักงานไม่ก็อ่านบนผลิตภัณฑ์,สังเกตุผิวก่อนใช้แล้วลองใช้สักสัปดาห์ดูว่าผิวเป็นยังไงบ้าง,มี
"หน้าผาก, แก้ม, คาง, จมูก",หน้าผาก, แก้ม, คาง, จมูก,,ปานกลาง,"ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,ดูตามรีวิว และลองใช้ตาม,ใช้แล้วสิวลดลงก็ใช้ต่อ ถ้าสิวขึ้นเพิ่มก็หยุดใช้,ไม่มี
