area2,Skincare5,Level,another,counts
 คาง, มอยส์ เรตินอล,น้อยมาก,ไม่มี,1
 คาง, โฟมล้างหน้า,ปานกลาง,ไม่มี,1
 คาง, โฟมล้างหน้า,รุนแรง,ไม่มี,1
 จมูก, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
 จมูก, มาส์กหน้า,ปานกลาง,มี,1
 จมูก, โฟมล้างหน้า,ปานกลาง,ไม่มี,1
 แก้ม, โฟมล้างหน้า,ปานกลาง,ไม่มี,3
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,มี,2
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,2
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,น้อยมาก,มี,1
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,รุนแรง,ไม่มี,1
 แก้ม, มาส์กหน้า,ปานกลาง,มี,1
 แก้ม, มาส์กหน้า,รุนแรง,ไม่มี,1
 แก้ม, โฟมล้างหน้า,ปานกลาง,มี,1
 แก้ม, โฟมล้างหน้า,รุนแรง,มี,1
