คุณรู้สึกว่าผิวหน้าของคุณใกล้เคียงกับตัวเลือกใดมากที่สุด,ปัญหาผิวหน้าที่คุณประสบอยู่คืออะไร? (เลือกได้หลายข้อ),Problem1,Problem2,Problem2,Problem3,Problem4,Problem5
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),สิวอุดตัน ผดสิว,สิวอุดตัน ผดสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,
ผิวหน้ามัน,รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,หลุม แผลเป็นจากสิว,หลุม แผลเป็นจากสิว,,,,,
ผิวหน้ามัน,รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้าแห้ง,รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),หลุม แผลเป็นจากสิว,หลุม แผลเป็นจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
