คุณรู้สึกว่าผิวหน้าของคุณใกล้เคียงกับตัวเลือกใดมากที่สุด,รูขุมขนบริเวณแก้มของคุณเป็นอย่างไร,ปัญหาผิวหน้าที่คุณประสบอยู่คืออะไร? (เลือกได้หลายข้อ),Problem1,Problem2,Problem3,Problem4,Problem5,Problem6
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),สิวอุดตัน ผดสิว,สิวอุดตัน ผดสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ไม่เคยสังเกต,รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้ามัน,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ไม่เคยสังเกต,รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
